sampleId,lat,long,Continent
AT_Kar_See_1_2014-08-17,46.8136889,13.50794792,EU
AT_Kar_See_1_2016-08-01,46.8136889,13.50794792,EU
AT_Nie_Mau_1_2014-07-20,48.375,15.56,EU
AT_Nie_Mau_1_2014-10-19,48.375,15.56,EU
AT_Nie_Mau_1_2015-07-20,48.375,15.56,EU
AT_Nie_Mau_1_2015-10-19,48.375,15.56,EU
AT_Wie_Gro_1_2012-08-03,48.2,16.37,EU
AT_Wie_Gro_1_2012-10-20,48.2,16.37,EU
BY_Bre_Bre_1_2015-09-11,52.142193,23.662434,EU
CH_Fri_Ors_1_2020-08-23,46.71061,6.98713,EU
CH_Vau_Cha_1_2014-07-24,46.5670416,6.701867,EU
CH_Vau_Cha_1_2014-10-05,46.5670416,6.701867,EU
CH_Vau_Cha_1_2015-08-01,46.5670416,6.701867,EU
CH_Vau_Cha_1_2016-08-15,46.5670416,6.701867,EU
CH_Vau_Vul_1_2018-09-18,46.93947,7.05332,EU
CH_Vau_Vul_1_2019-07-17,46.93947,7.05332,EU
CH_Vau_Vul_1_2019-09-24,46.93947,7.05332,EU
CH_Vau_Vul_1_2020-07-29,46.93947,7.05332,EU
CH_Vau_Vul_1_2020-09-15,46.93947,7.05332,EU
DE_Bad_Bro_1_2014-06-26,48.218024,7.819513,EU
DE_Bad_Bro_1_2014-10-15,48.218024,7.819513,EU
DE_Bad_Bro_1_2015-06-30,48.218,7.82,EU
DE_Bad_Bro_1_2015-10-25,48.218,7.82,EU
DE_Bad_Bro_1_2016-07-24,48.218024,7.819513,EU
DE_Bad_Bro_1_2016-10-23,48.218024,7.819513,EU
DE_Bad_Bro_1_2017-06-27,48.217898,7.819194,EU
DE_Bad_Bro_1_2018-06-26,48.217898,7.819194,EU
DE_Bad_Bro_1_2019-07-03,48.217898,7.819194,EU
DE_Bad_Bro_1_2020-07-16,48.217898,7.819194,EU
DE_Bad_Bro_1_2020-10-24,48.217898,7.819194,EU
DE_Bad_Bro_1_2021-07-21,48.217898,7.819194,EU
DE_Bad_Bro_1_2021-10-20,48.217898,7.819194,EU
DE_Bad_Wal_1_2019-10-02,47.622135,8.217058,EU
DE_Bad_Wal_1_2020-10-02,47.622135,8.217058,EU
DE_Bay_Mun_1_2014-06-19,48.18,11.61,EU
DE_Bay_Mun_1_2014-09-03,48.18,11.61,EU
DE_Bay_Mun_1_2015-06-01,48.18,11.61,EU
DE_Bay_Mun_1_2015-09-01,48.18,11.61,EU
DE_Bay_Mun_1_2016-06-25,48.18,11.61,EU
DE_Bay_Mun_1_2016-09-01,48.18,11.61,EU
DE_Bay_Mun_1_2017-06-20,48.18,11.61,EU
DE_Bay_Mun_1_2017-09-03,48.18,11.61,EU
DE_Bay_Mun_1_2018-06-25,48.18,11.61,EU
DE_Bay_Mun_1_2018-09-09,48.18,11.61,EU
DE_Bay_Mun_1_2019-06-22,48.18,11.61,EU
DE_Bay_Mun_1_2019-09-02,48.18,11.61,EU
DE_Bay_Mun_1_2020-06-25,48.18,11.61,EU
DE_Bay_Mun_1_2020-09-05,48.18,11.61,EU
DE_Bay_Mun_1_2021-06-25,48.18,11.61,EU
DE_Bay_Mun_1_2021-09-04,48.18,11.61,EU
DE_Bay_Wue_1_2020-07-18,49.780082,9.974293,EU
DE_Bay_Wue_1_2020-09-23,49.778659,9.975929,EU
DE_Bay_Wue_1_2021-07-27,49.778659,9.975929,EU
DE_Bay_Wue_1_2021-10-18,49.780082,9.974293,EU
DE_Bra_Ber_1_2021-07-24,52.69757,13.08094,EU
DE_Bra_Ber_2_2021-07-24,52.38103,12.87146,EU
DK_Mid_Kar_1_2014-09-01,55.945128,10.212586,EU
DK_Mid_Kar_1_2014-11-25,55.945128,10.212586,EU
DK_Mid_Kar_1_2016-06-08,55.945128,10.212586,EU
DK_Mid_Kar_1_2016-09-15,55.945128,10.212586,EU
DK_Mid_Kar_1_2016-11-22,55.945128,10.212586,EU
DK_Mid_Kar_1_2017-08-08,55.945128,10.212586,EU
DK_Mid_Kar_1_2018-06-30,55.945128,10.212586,EU
DK_Mid_Kar_1_2018-10-05,55.945128,10.212586,EU
DK_Mid_Kar_1_2019-07-09,55.945128,10.212586,EU
DK_Mid_Kar_1_2019-10-01,55.945128,10.212586,EU
DK_Mid_Kar_1_2020-07-31,55.945128,10.212586,EU
DK_Mid_Kar_1_2020-10-31,55.945128,10.212586,EU
ES_Bar_Bar_1_2012-07-13,41.38,2.17,EU
ES_Bar_Bar_1_2012-10-16,41.38,2.17,EU
ES_Ciu_Man_1_2020-08-10,38.9707208053836,-3.4072120460269,EU
ES_Ciu_Tom_1_2015-09-17,39.15805,-3.021,EU
ES_Ciu_Tom_1_2015-10-08,39.15805,-3.021,EU
ES_Ciu_Tom_1_2016-09-02,39.152529,-3.0616048,EU
ES_Ciu_Tom_1_2016-10-11,39.152529,-3.0616048,EU
ES_Ciu_Tom_1_2017-10-04,39.1567614,-3.0497293,EU
ES_Ciu_Tom_1_2018-10-03,39.17,-2.97,EU
ES_Ciu_Tom_1_2020-09-30,39.1567614,-3.0497293,EU
ES_Ciu_Tom_1_2021-10-07,39.1689,-2.9849,EU
ES_Gra_Ben_1_2016-10-08,37.353733,-3.167179,EU
ES_Gra_Ben_1_2017-10-05,37.363279,-3.168799,EU
ES_Gra_Cor_1_2015-08-08,37.661547,-2.79631,EU
ES_Gra_Cor_1_2017-07-28,37.6617732605881,-2.79623534604702,EU
ES_Gra_Gua_1_2015-09-12,37.3308,-3.173416,EU
