F4,Group,Origin
0.05266962971406,Eastern_Border,NoHet
0.0788904897047915,Eastern_Border,NoHet
0.0851048148540252,Eastern_Border,NoHet
0.0784963757025778,Eastern_Border,NoHet
0.0351057457820045,Eastern_Border,NoHet
0.0229069915907627,Eastern_Border,NoHet
0.0778273318732598,Eastern_Border,NoHet
0.0689025190355674,Eastern_Border,NoHet
0.0502067672029893,Eastern,NoHet
0.0340270077833586,Western,NoHet
0.0802774538613895,Western,NoHet
0.0770772690735299,Western,NoHet
0.0340514345816669,Western,NoHet
0.0773267242584723,Western,NoHet
0.0462045180476322,Western,NoHet
0.0275848992468359,Western,NoHet
0.0483078013082549,Western,NoHet
0.0366178455329038,Western,NoHet
0.0213201910083165,Western,NoHet
0.0621978257038211,Western_Border,NoHet
0.0751283151543735,Western_Border,NoHet
0.0466938939345764,Western_Border,NoHet
0.0584372494209493,Western_Border,NoHet
0.1105916701271505,Western_Border,NoHet
0.1112389663705146,Western_Border,NoHet
0.0765433301754809,Western_Border,NoHet
0.0430279319148558,Western_Border,NoHet
0.0534552088490296,Western_Border,NoHet
0.0493658112984194,Western_Border,NoHet
0.0785097964712737,Western_Border,NoHet
0.0717108246464774,Western_Border,NoHet
0.0827249550409996,Western_Border,NoHet
0.0471956973399907,Western_Border,NoHet
0.0190157462849427,Western_Border,NoHet
0.0177640916185746,Western_Border,NoHet
0.0373884348104771,Western_Border,NoHet
0.0167139302955192,Western_Border,NoHet
0.0436718199466712,Western_Border,NoHet
0.0735503822548235,Western_Border,NoHet
0.0613021357179139,Western_Border,NoHet
0.0411539096451007,Western_Border,NoHet
0.0112716241614052,Western_Border,NoHet
0.041732625669056,Western_Border,NoHet
0.0256236647635299,Western_Border,NoHet
0.0346686977672996,Western_Border,NoHet
0.0240090871304452,Western_Border,NoHet
0.014703784803471,Western_Border,NoHet
0.0174471574711698,Western_Border,NoHet
0.0160489421787557,Western_Border,NoHet
0.0213971205012879,Western_Border,NoHet
0.0464202535743207,Western_Border,NoHet
0.0479420871217748,Western_Border,NoHet
0.0562753171355627,Western_Border,NoHet
0.0640215654960445,Western_Border,NoHet
0.1097067251865053,Western_Border,NoHet
0.0568137192568045,Western_Border,NoHet
0.0847902011816081,Western,NoHet
0.0844341014062648,Western,NoHet
0.0573650412556987,Western,NoHet
0.0827628132169819,Western,NoHet
0.0816125898284372,Western,NoHet
0.0694588014088153,Western,NoHet
0.0884648192609771,Western,NoHet
0.05490079213693,Western,NoHet
0.0506376237379071,Western,NoHet
0.0489840533245666,Western,NoHet
0.054068301581069,Western,NoHet
0.0536983631195779,Western,NoHet
0.0938439667036052,Western,NoHet
0.0859631852353091,Western,NoHet
0.0779245941838739,Western,NoHet
0.0624754612146887,Western,NoHet
0.0779020298172157,Western,NoHet
0.1249364863901674,Western,NoHet
0.1242873275102847,Western,NoHet
0.077013932006418,Western,NoHet
0.0606642740315785,Western,NoHet
0.069151247814041,Western,NoHet
0.0873007570761774,Western,NoHet
0.1381542419828281,Western,NoHet
0.0795487982994098,Western,NoHet
0.0652209132428309,Western,NoHet
0.0645273582499263,Western,NoHet
0.0670633454906772,Western,NoHet
0.1244675662378822,Western,NoHet
0.0917859852186488,Western,NoHet
0.1000962089073893,Western,NoHet
0.0780938614033419,Western,NoHet
0.0815162985743753,Western,NoHet
0.113732256329627,Western,NoHet
0.1084840940156097,Western,NoHet
0.0858645490382941,Western,NoHet
0.0716732153903225,Western,NoHet
0.077065381869805,Western,NoHet
0.0627687953718527,Western,NoHet
0.0671693451621657,Western,NoHet
0.071228071816956,Western,NoHet
0.0895569361657284,Western,NoHet
0.053186813999422,Western,NoHet
0.0612750498163756,Western,NoHet
0.0786196520174491,Western,NoHet
0.0887272363858255,Western,NoHet
0.0029210302539713,Eastern,NoHet
0.0277098991902577,Eastern,NoHet
0.0410175234454122,Eastern,NoHet
0.0341446481226879,Eastern,NoHet
0.0312384365630749,Eastern,NoHet
0.0142666280412933,Eastern,NoHet
0.0192210453196592,Eastern,NoHet
0.0470650083693608,Eastern,NoHet
0.0511475029727639,Eastern,NoHet
0.0089846956731447,Eastern,NoHet
0.0317306766439671,Eastern,NoHet
0.0118104408329526,Eastern,NoHet
0.0178126087221739,Eastern,NoHet
0.0200097351610724,Eastern,NoHet
0.0034301790143962,Eastern,NoHet
0.0142148396648775,Eastern,NoHet
0.0379857795387459,Eastern,NoHet
0.0253492740192216,Eastern,NoHet
0.0313732641959498,Eastern,NoHet
0.0915646969608723,Western,NoHet
0.0543996963434627,Western,NoHet
0.0707244586952713,Western,NoHet
0.0605208603821882,Western,NoHet
0.0628081364256485,Western,NoHet
0.0660663285796714,Western,NoHet
