"","Pool","Cluster"
"CYP_1","CYP_1",1
"EBAT_1","EBAT_1",2
"EBHU_1","EBHU_1",2
"EBPL_1","EBPL_1",2
"EERU_1","EERU_1",2
"EERU_2","EERU_2",2
"EEUA_1","EEUA_1",2
"EEUA_2","EEUA_2",2
"TRK_1","TRK_1",2
"WBDE_1","WBDE_1",1
"WBIT_1","WBIT_1",2
"WEES_1","WEES_1",2
"WEES_2","WEES_2",1
"WEFR_1","WEFR_1",2
"WEFR_2","WEFR_2",2
"CNXJ","CNXJ",1
"CnOther","CnOther",1
"CnQTP","CnQTP",1
"ISR","ISR",1
"DGN","DGN",1
